sig_pow(ii = 1)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 2)=65536.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.000000
sig_pow(ii = 3)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 4)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.250000
sig_pow(ii = 5)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 6)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.250000
sig_pow(ii = 7)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 8)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 9)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 10)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 11)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 12)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.035156
sig_pow(ii = 13)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 14)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.035156
sig_pow(ii = 15)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 16)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.003906
sig_pow(ii = 17)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 18)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 19)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 20)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
sig_pow(ii = 21)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 22)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.000000
sig_pow(ii = 23)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 24)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 25)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 26)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 27)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 28)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 29)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 30)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 31)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 32)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.316406
sig_pow(ii = 33)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 34)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 35)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 36)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 37)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 38)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 39)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 40)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 41)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 42)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 43)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 44)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 45)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 46)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 47)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 48)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 49)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 50)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 51)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 52)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 53)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 54)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 55)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 56)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
sig_pow(ii = 57)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 58)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 59)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 60)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 61)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 62)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 63)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 64)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.062500
sig_pow(ii = 65)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 66)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 67)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 68)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 69)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 70)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 71)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 72)=0.000000, noise_pow(ii)=0.140625, fft_out_fixed=0.015625
sig_pow(ii = 73)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 74)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
sig_pow(ii = 75)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
