sig_pow(ii)=122473.058000, noise_pow(ii)=0.006481
sig_pow(ii)=97.637563, noise_pow(ii)=0.024381
sig_pow(ii)=21.689193, noise_pow(ii)=0.186041
sig_pow(ii)=19.663964, noise_pow(ii)=0.041363
sig_pow(ii)=88.648052, noise_pow(ii)=0.053620
sig_pow(ii)=35.153689, noise_pow(ii)=0.035581
sig_pow(ii)=292.925596, noise_pow(ii)=0.071002
sig_pow(ii)=86.936359, noise_pow(ii)=0.103530
sig_pow(ii)=31.365119, noise_pow(ii)=0.077232
sig_pow(ii)=72.205528, noise_pow(ii)=0.015317
sig_pow(ii)=40.221111, noise_pow(ii)=0.013986
sig_pow(ii)=27.859192, noise_pow(ii)=0.013688
sig_pow(ii)=101.998014, noise_pow(ii)=0.023430
sig_pow(ii)=59.643012, noise_pow(ii)=0.100961
sig_pow(ii)=122.372541, noise_pow(ii)=0.021796
sig_pow(ii)=78.243523, noise_pow(ii)=0.006387
sig_pow(ii)=1.654893, noise_pow(ii)=0.011151
sig_pow(ii)=46.748357, noise_pow(ii)=0.077051
sig_pow(ii)=126.463224, noise_pow(ii)=0.051748
sig_pow(ii)=105.785899, noise_pow(ii)=0.043021
sig_pow(ii)=120.117280, noise_pow(ii)=0.001388
sig_pow(ii)=21.119832, noise_pow(ii)=0.016375
sig_pow(ii)=20.208398, noise_pow(ii)=0.005068
sig_pow(ii)=123.345813, noise_pow(ii)=0.001367
sig_pow(ii)=177.767621, noise_pow(ii)=0.021259
sig_pow(ii)=228.321237, noise_pow(ii)=0.021010
sig_pow(ii)=6.125252, noise_pow(ii)=0.014199
sig_pow(ii)=80.725021, noise_pow(ii)=0.055206
sig_pow(ii)=54.148130, noise_pow(ii)=0.019034
sig_pow(ii)=7.578309, noise_pow(ii)=0.016475
sig_pow(ii)=26.355819, noise_pow(ii)=0.000441
sig_pow(ii)=52.538329, noise_pow(ii)=0.017137
sig_pow(ii)=11.857463, noise_pow(ii)=0.079509
sig_pow(ii)=30.004549, noise_pow(ii)=0.075080
sig_pow(ii)=39.010787, noise_pow(ii)=0.045591
sig_pow(ii)=27.945194, noise_pow(ii)=0.012560
sig_pow(ii)=170.853909, noise_pow(ii)=0.001303
sig_pow(ii)=25.573674, noise_pow(ii)=0.011041
sig_pow(ii)=39.352105, noise_pow(ii)=0.008637
sig_pow(ii)=268.516511, noise_pow(ii)=0.011272
