bfly01_tmp(1)=122+j85, temp_bfly01(1)=31232+j21760, bfly01(1)=122+j85
bfly01_tmp(2)=40+j131, temp_bfly01(2)=10240+j33536, bfly01(2)=40+j131
bfly01_tmp(3)=74+j74, temp_bfly01(3)=18944+j18944, bfly01(3)=74+j74
bfly01_tmp(4)=84+j120, temp_bfly01(4)=21504+j30720, bfly01(4)=84+j120
bfly01_tmp(5)=135+j90, temp_bfly01(5)=34560+j23040, bfly01(5)=135+j90
bfly01_tmp(6)=109+j128, temp_bfly01(6)=27904+j32768, bfly01(6)=109+j128
bfly01_tmp(7)=52+j127, temp_bfly01(7)=13312+j32512, bfly01(7)=52+j127
bfly01_tmp(8)=140+j72, temp_bfly01(8)=35840+j18432, bfly01(8)=140+j72
bfly01_tmp(9)=103+j110, temp_bfly01(9)=26368+j28160, bfly01(9)=103+j110
bfly01_tmp(10)=143+j92, temp_bfly01(10)=36608+j23552, bfly01(10)=143+j92
bfly01_tmp(11)=116+j101, temp_bfly01(11)=29696+j25856, bfly01(11)=116+j101
bfly01_tmp(12)=116+j70, temp_bfly01(12)=29696+j17920, bfly01(12)=116+j70
bfly01_tmp(13)=88+j84, temp_bfly01(13)=22528+j21504, bfly01(13)=88+j84
bfly01_tmp(14)=88+j146, temp_bfly01(14)=22528+j37376, bfly01(14)=88+j146
bfly01_tmp(15)=99+j80, temp_bfly01(15)=25344+j20480, bfly01(15)=99+j80
bfly01_tmp(16)=88+j99, temp_bfly01(16)=22528+j25344, bfly01(16)=88+j99
bfly01_tmp(17)=120+j107, temp_bfly01(17)=30720+j27392, bfly01(17)=120+j107
bfly01_tmp(18)=134+j98, temp_bfly01(18)=34304+j25088, bfly01(18)=134+j98
bfly01_tmp(19)=114+j38, temp_bfly01(19)=29184+j9728, bfly01(19)=114+j38
bfly01_tmp(20)=101+j101, temp_bfly01(20)=25856+j25856, bfly01(20)=101+j101
bfly01_tmp(21)=100+j138, temp_bfly01(21)=25600+j35328, bfly01(21)=100+j138
bfly01_tmp(22)=137+j75, temp_bfly01(22)=35072+j19200, bfly01(22)=137+j75
bfly01_tmp(23)=112+j88, temp_bfly01(23)=28672+j22528, bfly01(23)=112+j88
bfly01_tmp(24)=157+j116, temp_bfly01(24)=40192+j29696, bfly01(24)=157+j116
bfly01_tmp(25)=83+j97, temp_bfly01(25)=21248+j24832, bfly01(25)=83+j97
bfly01_tmp(26)=84+j79, temp_bfly01(26)=21504+j20224, bfly01(26)=84+j79
bfly01_tmp(27)=133+j113, temp_bfly01(27)=34048+j28928, bfly01(27)=133+j113
bfly01_tmp(28)=114+j88, temp_bfly01(28)=29184+j22528, bfly01(28)=114+j88
bfly01_tmp(29)=47+j93, temp_bfly01(29)=12032+j23808, bfly01(29)=47+j93
bfly01_tmp(30)=98+j87, temp_bfly01(30)=25088+j22272, bfly01(30)=98+j87
bfly01_tmp(31)=37+j150, temp_bfly01(31)=9472+j38400, bfly01(31)=37+j150
bfly01_tmp(32)=35+j88, temp_bfly01(32)=8960+j22528, bfly01(32)=35+j88
bfly01_tmp(33)=132+j134, temp_bfly01(33)=33792+j34304, bfly01(33)=132+j134
bfly01_tmp(34)=64+j80, temp_bfly01(34)=16384+j20480, bfly01(34)=64+j80
bfly01_tmp(35)=79+j125, temp_bfly01(35)=20224+j32000, bfly01(35)=79+j125
bfly01_tmp(36)=75+j161, temp_bfly01(36)=19200+j41216, bfly01(36)=75+j161
bfly01_tmp(37)=150+j92, temp_bfly01(37)=38400+j23552, bfly01(37)=150+j92
bfly01_tmp(38)=81+j95, temp_bfly01(38)=20736+j24320, bfly01(38)=81+j95
bfly01_tmp(39)=108+j90, temp_bfly01(39)=27648+j23040, bfly01(39)=108+j90
bfly01_tmp(40)=94+j87, temp_bfly01(40)=24064+j22272, bfly01(40)=94+j87
bfly01_tmp(41)=90+j95, temp_bfly01(41)=23040+j24320, bfly01(41)=90+j95
bfly01_tmp(42)=135+j55, temp_bfly01(42)=34560+j14080, bfly01(42)=135+j55
bfly01_tmp(43)=101+j55, temp_bfly01(43)=25856+j14080, bfly01(43)=101+j55
bfly01_tmp(44)=80+j43, temp_bfly01(44)=20480+j11008, bfly01(44)=80+j43
bfly01_tmp(45)=89+j78, temp_bfly01(45)=22784+j19968, bfly01(45)=89+j78
bfly01_tmp(46)=54+j75, temp_bfly01(46)=13824+j19200, bfly01(46)=54+j75
bfly01_tmp(47)=130+j112, temp_bfly01(47)=33280+j28672, bfly01(47)=130+j112
bfly01_tmp(48)=89+j97, temp_bfly01(48)=22784+j24832, bfly01(48)=89+j97
bfly01_tmp(49)=103+j67, temp_bfly01(49)=26368+j17152, bfly01(49)=103+j67
bfly01_tmp(50)=94+j114, temp_bfly01(50)=24064+j29184, bfly01(50)=94+j114
bfly01_tmp(51)=121+j88, temp_bfly01(51)=30976+j22528, bfly01(51)=121+j88
bfly01_tmp(52)=100+j128, temp_bfly01(52)=25600+j32768, bfly01(52)=100+j128
bfly01_tmp(53)=119+j124, temp_bfly01(53)=30464+j31744, bfly01(53)=119+j124
bfly01_tmp(54)=145+j95, temp_bfly01(54)=37120+j24320, bfly01(54)=145+j95
bfly01_tmp(55)=65+j80, temp_bfly01(55)=16640+j20480, bfly01(55)=65+j80
bfly01_tmp(56)=109+j74, temp_bfly01(56)=27904+j18944, bfly01(56)=109+j74
bfly01_tmp(57)=122+j102, temp_bfly01(57)=31232+j26112, bfly01(57)=122+j102
bfly01_tmp(58)=118+j88, temp_bfly01(58)=30208+j22528, bfly01(58)=118+j88
bfly01_tmp(59)=72+j102, temp_bfly01(59)=18432+j26112, bfly01(59)=72+j102
bfly01_tmp(60)=97+j96, temp_bfly01(60)=24832+j24576, bfly01(60)=97+j96
bfly01_tmp(61)=125+j89, temp_bfly01(61)=32000+j22784, bfly01(61)=125+j89
bfly01_tmp(62)=141+j144, temp_bfly01(62)=36096+j36864, bfly01(62)=141+j144
bfly01_tmp(63)=92+j81, temp_bfly01(63)=23552+j20736, bfly01(63)=92+j81
bfly01_tmp(64)=103+j80, temp_bfly01(64)=26368+j20480, bfly01(64)=103+j80
bfly01_tmp(65)=108+j94, temp_bfly01(65)=27648+j24064, bfly01(65)=108+j94
bfly01_tmp(66)=78+j109, temp_bfly01(66)=19968+j27904, bfly01(66)=78+j109
bfly01_tmp(67)=108+j140, temp_bfly01(67)=27648+j35840, bfly01(67)=108+j140
bfly01_tmp(68)=117+j79, temp_bfly01(68)=29952+j20224, bfly01(68)=117+j79
bfly01_tmp(69)=79+j108, temp_bfly01(69)=20224+j27648, bfly01(69)=79+j108
bfly01_tmp(70)=65+j77, temp_bfly01(70)=16640+j19712, bfly01(70)=65+j77
bfly01_tmp(71)=125+j71, temp_bfly01(71)=32000+j18176, bfly01(71)=125+j71
bfly01_tmp(72)=114+j107, temp_bfly01(72)=29184+j27392, bfly01(72)=114+j107
bfly01_tmp(73)=116+j53, temp_bfly01(73)=29696+j13568, bfly01(73)=116+j53
bfly01_tmp(74)=150+j75, temp_bfly01(74)=38400+j19200, bfly01(74)=150+j75
bfly01_tmp(75)=114+j87, temp_bfly01(75)=29184+j22272, bfly01(75)=114+j87
bfly01_tmp(76)=82+j102, temp_bfly01(76)=20992+j26112, bfly01(76)=82+j102
bfly01_tmp(77)=77+j108, temp_bfly01(77)=19712+j27648, bfly01(77)=77+j108
bfly01_tmp(78)=101+j142, temp_bfly01(78)=25856+j36352, bfly01(78)=101+j142
bfly01_tmp(79)=64+j99, temp_bfly01(79)=16384+j25344, bfly01(79)=64+j99
bfly01_tmp(80)=127+j113, temp_bfly01(80)=32512+j28928, bfly01(80)=127+j113
bfly01_tmp(81)=83+j96, temp_bfly01(81)=21248+j24576, bfly01(81)=83+j96
bfly01_tmp(82)=57+j104, temp_bfly01(82)=14592+j26624, bfly01(82)=57+j104
bfly01_tmp(83)=86+j153, temp_bfly01(83)=22016+j39168, bfly01(83)=86+j153
bfly01_tmp(84)=67+j136, temp_bfly01(84)=17152+j34816, bfly01(84)=67+j136
bfly01_tmp(85)=97+j63, temp_bfly01(85)=24832+j16128, bfly01(85)=97+j63
bfly01_tmp(86)=92+j69, temp_bfly01(86)=23552+j17664, bfly01(86)=92+j69
bfly01_tmp(87)=113+j113, temp_bfly01(87)=28928+j28928, bfly01(87)=113+j113
bfly01_tmp(88)=136+j42, temp_bfly01(88)=34816+j10752, bfly01(88)=136+j42
bfly01_tmp(89)=114+j124, temp_bfly01(89)=29184+j31744, bfly01(89)=114+j124
bfly01_tmp(90)=93+j68, temp_bfly01(90)=23808+j17408, bfly01(90)=93+j68
bfly01_tmp(91)=67+j102, temp_bfly01(91)=17152+j26112, bfly01(91)=67+j102
bfly01_tmp(92)=132+j107, temp_bfly01(92)=33792+j27392, bfly01(92)=132+j107
bfly01_tmp(93)=70+j104, temp_bfly01(93)=17920+j26624, bfly01(93)=70+j104
bfly01_tmp(94)=139+j131, temp_bfly01(94)=35584+j33536, bfly01(94)=139+j131
bfly01_tmp(95)=73+j64, temp_bfly01(95)=18688+j16384, bfly01(95)=73+j64
bfly01_tmp(96)=114+j129, temp_bfly01(96)=29184+j33024, bfly01(96)=114+j129
bfly01_tmp(97)=99+j101, temp_bfly01(97)=25344+j25856, bfly01(97)=99+j101
bfly01_tmp(98)=144+j133, temp_bfly01(98)=36864+j34048, bfly01(98)=144+j133
bfly01_tmp(99)=121+j51, temp_bfly01(99)=30976+j13056, bfly01(99)=121+j51
bfly01_tmp(100)=81+j63, temp_bfly01(100)=20736+j16128, bfly01(100)=81+j63
bfly01_tmp(101)=102+j78, temp_bfly01(101)=26112+j19968, bfly01(101)=102+j78
bfly01_tmp(102)=76+j85, temp_bfly01(102)=19456+j21760, bfly01(102)=76+j85
bfly01_tmp(103)=113+j110, temp_bfly01(103)=28928+j28160, bfly01(103)=113+j110
bfly01_tmp(104)=96+j116, temp_bfly01(104)=24576+j29696, bfly01(104)=96+j116
bfly01_tmp(105)=50+j69, temp_bfly01(105)=12800+j17664, bfly01(105)=50+j69
bfly01_tmp(106)=84+j105, temp_bfly01(106)=21504+j26880, bfly01(106)=84+j105
bfly01_tmp(107)=88+j98, temp_bfly01(107)=22528+j25088, bfly01(107)=88+j98
bfly01_tmp(108)=34+j90, temp_bfly01(108)=8704+j23040, bfly01(108)=34+j90
bfly01_tmp(109)=134+j91, temp_bfly01(109)=34304+j23296, bfly01(109)=134+j91
bfly01_tmp(110)=62+j64, temp_bfly01(110)=15872+j16384, bfly01(110)=62+j64
bfly01_tmp(111)=89+j53, temp_bfly01(111)=22784+j13568, bfly01(111)=89+j53
bfly01_tmp(112)=103+j137, temp_bfly01(112)=26368+j35072, bfly01(112)=103+j137
bfly01_tmp(113)=102+j117, temp_bfly01(113)=26112+j29952, bfly01(113)=102+j117
bfly01_tmp(114)=121+j116, temp_bfly01(114)=30976+j29696, bfly01(114)=121+j116
bfly01_tmp(115)=60+j135, temp_bfly01(115)=15360+j34560, bfly01(115)=60+j135
bfly01_tmp(116)=30+j95, temp_bfly01(116)=7680+j24320, bfly01(116)=30+j95
bfly01_tmp(117)=42+j149, temp_bfly01(117)=10752+j38144, bfly01(117)=42+j149
bfly01_tmp(118)=105+j128, temp_bfly01(118)=26880+j32768, bfly01(118)=105+j128
bfly01_tmp(119)=122+j75, temp_bfly01(119)=31232+j19200, bfly01(119)=122+j75
bfly01_tmp(120)=71+j102, temp_bfly01(120)=18176+j26112, bfly01(120)=71+j102
bfly01_tmp(121)=126+j94, temp_bfly01(121)=32256+j24064, bfly01(121)=126+j94
bfly01_tmp(122)=109+j73, temp_bfly01(122)=27904+j18688, bfly01(122)=109+j73
bfly01_tmp(123)=69+j39, temp_bfly01(123)=17664+j9984, bfly01(123)=69+j39
bfly01_tmp(124)=114+j71, temp_bfly01(124)=29184+j18176, bfly01(124)=114+j71
bfly01_tmp(125)=131+j70, temp_bfly01(125)=33536+j17920, bfly01(125)=131+j70
bfly01_tmp(126)=120+j91, temp_bfly01(126)=30720+j23296, bfly01(126)=120+j91
bfly01_tmp(127)=53+j115, temp_bfly01(127)=13568+j29440, bfly01(127)=53+j115
bfly01_tmp(128)=145+j112, temp_bfly01(128)=37120+j28672, bfly01(128)=145+j112
bfly01_tmp(129)=-12+j7, temp_bfly01(129)=-3072+j1792, bfly01(129)=-12+j7
bfly01_tmp(130)=0+j-13, temp_bfly01(130)=0+j-3328, bfly01(130)=0+j-13
bfly01_tmp(131)=24+j-14, temp_bfly01(131)=6144+j-3584, bfly01(131)=24+j-14
bfly01_tmp(132)=64+j18, temp_bfly01(132)=16384+j4608, bfly01(132)=64+j18
bfly01_tmp(133)=-45+j-6, temp_bfly01(133)=-11520+j-1536, bfly01(133)=-45+j-6
bfly01_tmp(134)=-31+j-18, temp_bfly01(134)=-7936+j-4608, bfly01(134)=-31+j-18
bfly01_tmp(135)=20+j3, temp_bfly01(135)=5120+j768, bfly01(135)=20+j3
bfly01_tmp(136)=-10+j-20, temp_bfly01(136)=-2560+j-5120, bfly01(136)=-10+j-20
bfly01_tmp(137)=-7+j32, temp_bfly01(137)=-1792+j8192, bfly01(137)=-7+j32
bfly01_tmp(138)=-37+j-66, temp_bfly01(138)=-9472+j-16896, bfly01(138)=-37+j-66
