pre_bfly12(1)=428288+j395520, index2_re(1)=5, index2_im(1)=5, bfly12(1)=1673+j1545
pre_bfly12(2)=421888+j389120, index2_re(2)=5, index2_im(2)=5, bfly12(2)=1648+j1520
pre_bfly12(3)=389888+j384256, index2_re(3)=5, index2_im(3)=5, bfly12(3)=1523+j1501
pre_bfly12(4)=364544+j396800, index2_re(4)=5, index2_im(4)=5, bfly12(4)=1424+j1550
pre_bfly12(5)=405760+j399104, index2_re(5)=5, index2_im(5)=5, bfly12(5)=1585+j1559
pre_bfly12(6)=412928+j417792, index2_re(6)=5, index2_im(6)=5, bfly12(6)=1613+j1632
pre_bfly12(7)=370432+j386048, index2_re(7)=5, index2_im(7)=5, bfly12(7)=1447+j1508
pre_bfly12(8)=440576+j402176, index2_re(8)=5, index2_im(8)=5, bfly12(8)=1721+j1571
pre_bfly12(9)=16640+j14592, index2_re(9)=7, index2_im(9)=7, bfly12(9)=260+j228
pre_bfly12(10)=-18924+j77032, index2_re(10)=7, index2_im(10)=7, bfly12(10)=-296+j1203
pre_bfly12(11)=20020+j18928, index2_re(11)=7, index2_im(11)=7, bfly12(11)=312+j295
pre_bfly12(12)=39804+j48072, index2_re(12)=7, index2_im(12)=7, bfly12(12)=621+j751
pre_bfly12(13)=32000+j-16128, index2_re(13)=7, index2_im(13)=7, bfly12(13)=500+j-252
pre_bfly12(14)=-30894+j10892, index2_re(14)=7, index2_im(14)=7, bfly12(14)=-483+j170
pre_bfly12(15)=-31486+j-31486, index2_re(15)=7, index2_im(15)=7, bfly12(15)=-492+j-492
pre_bfly12(16)=-40290+j21730, index2_re(16)=7, index2_im(16)=7, bfly12(16)=-630+j339
pre_bfly12(17)=-9472+j28928, index2_re(17)=7, index2_im(17)=7, bfly12(17)=-148+j452
pre_bfly12(18)=-19722+j-18874, index2_re(18)=7, index2_im(18)=7, bfly12(18)=-309+j-295
pre_bfly12(19)=-13300+j-22700, index2_re(19)=7, index2_im(19)=7, bfly12(19)=-208+j-355
pre_bfly12(20)=15760+j22612, index2_re(20)=7, index2_im(20)=7, bfly12(20)=246+j353
pre_bfly12(21)=-1456+j-42588, index2_re(21)=7, index2_im(21)=7, bfly12(21)=-23+j-666
pre_bfly12(22)=20024+j66850, index2_re(22)=7, index2_im(22)=7, bfly12(22)=312+j1044
pre_bfly12(23)=-27900+j10550, index2_re(23)=7, index2_im(23)=7, bfly12(23)=-436+j164
pre_bfly12(24)=9976+j-116, index2_re(24)=7, index2_im(24)=7, bfly12(24)=155+j-2
pre_bfly12(25)=36608+j-15104, index2_re(25)=8, index2_im(25)=8, bfly12(25)=1144+j-472
pre_bfly12(26)=-2670+j41406, index2_re(26)=8, index2_im(26)=8, bfly12(26)=-84+j1293
pre_bfly12(27)=14312+j1516, index2_re(27)=8, index2_im(27)=8, bfly12(27)=447+j47
pre_bfly12(28)=-51664+j-20132, index2_re(28)=8, index2_im(28)=8, bfly12(28)=-1615+j-630
pre_bfly12(29)=-35308+j-2184, index2_re(29)=8, index2_im(29)=8, bfly12(29)=-1104+j-69
pre_bfly12(30)=21994+j50200, index2_re(30)=8, index2_im(30)=8, bfly12(30)=687+j1568
pre_bfly12(31)=-28834+j-34788, index2_re(31)=8, index2_im(31)=8, bfly12(31)=-902+j-1088
pre_bfly12(32)=-2924+j-22228, index2_re(32)=8, index2_im(32)=8, bfly12(32)=-92+j-695
pre_bfly12(33)=32512+j-23552, index2_re(33)=8, index2_im(33)=8, bfly12(33)=1016+j-736
pre_bfly12(34)=-7743+j13369, index2_re(34)=8, index2_im(34)=8, bfly12(34)=-242+j417
pre_bfly12(35)=-321+j-20759, index2_re(35)=8, index2_im(35)=8, bfly12(35)=-11+j-649
pre_bfly12(36)=24081+j-44472, index2_re(36)=8, index2_im(36)=8, bfly12(36)=752+j-1390
pre_bfly12(37)=9567+j29369, index2_re(37)=8, index2_im(37)=8, bfly12(37)=298+j917
pre_bfly12(38)=38020+j17041, index2_re(38)=8, index2_im(38)=8, bfly12(38)=1188+j532
pre_bfly12(39)=5173+j3138, index2_re(39)=8, index2_im(39)=8, bfly12(39)=161+j98
pre_bfly12(40)=7758+j-44856, index2_re(40)=8, index2_im(40)=8, bfly12(40)=242+j-1402
pre_bfly12(41)=-23296+j-4096, index2_re(41)=8, index2_im(41)=8, bfly12(41)=-728+j-128
