sig_pow(ii)=124598.903591, noise_pow(ii)=8.000000
sig_pow(ii)=7.550810, noise_pow(ii)=0.009996
sig_pow(ii)=95.988801, noise_pow(ii)=0.014338
sig_pow(ii)=68.601392, noise_pow(ii)=0.007231
sig_pow(ii)=12.531490, noise_pow(ii)=0.004125
sig_pow(ii)=16.196475, noise_pow(ii)=0.050813
sig_pow(ii)=67.377326, noise_pow(ii)=0.000767
sig_pow(ii)=81.349260, noise_pow(ii)=0.040592
sig_pow(ii)=113.754443, noise_pow(ii)=0.004202
sig_pow(ii)=198.467591, noise_pow(ii)=0.143331
sig_pow(ii)=258.674719, noise_pow(ii)=0.051297
sig_pow(ii)=118.196232, noise_pow(ii)=0.053459
sig_pow(ii)=55.040551, noise_pow(ii)=0.034282
sig_pow(ii)=72.248617, noise_pow(ii)=0.002160
sig_pow(ii)=2.993117, noise_pow(ii)=0.017263
sig_pow(ii)=11.403514, noise_pow(ii)=0.031850
sig_pow(ii)=18.066790, noise_pow(ii)=0.003401
sig_pow(ii)=43.489533, noise_pow(ii)=0.067104
sig_pow(ii)=17.852320, noise_pow(ii)=0.050978
sig_pow(ii)=17.564095, noise_pow(ii)=0.002408
sig_pow(ii)=7.502842, noise_pow(ii)=0.001395
sig_pow(ii)=26.581351, noise_pow(ii)=0.032740
sig_pow(ii)=67.251266, noise_pow(ii)=0.006011
sig_pow(ii)=147.015762, noise_pow(ii)=0.019248
sig_pow(ii)=56.446566, noise_pow(ii)=0.017158
sig_pow(ii)=43.352126, noise_pow(ii)=0.017841
sig_pow(ii)=192.497943, noise_pow(ii)=0.016048
sig_pow(ii)=66.582793, noise_pow(ii)=0.012807
sig_pow(ii)=113.789546, noise_pow(ii)=0.044148
sig_pow(ii)=24.325264, noise_pow(ii)=0.014650
sig_pow(ii)=67.436907, noise_pow(ii)=0.031316
sig_pow(ii)=49.905469, noise_pow(ii)=0.017191
sig_pow(ii)=44.202658, noise_pow(ii)=0.015599
sig_pow(ii)=248.062274, noise_pow(ii)=0.009004
sig_pow(ii)=14.837517, noise_pow(ii)=0.002582
sig_pow(ii)=23.563295, noise_pow(ii)=0.067427
sig_pow(ii)=285.386635, noise_pow(ii)=0.024343
sig_pow(ii)=64.586869, noise_pow(ii)=0.004415
sig_pow(ii)=222.951606, noise_pow(ii)=0.056842
sig_pow(ii)=45.157731, noise_pow(ii)=0.010182
sig_pow(ii)=94.478721, noise_pow(ii)=0.024417
sig_pow(ii)=44.085826, noise_pow(ii)=0.011486
sig_pow(ii)=107.046999, noise_pow(ii)=0.013692
sig_pow(ii)=63.644260, noise_pow(ii)=0.016389
sig_pow(ii)=351.179208, noise_pow(ii)=0.016720
sig_pow(ii)=56.943314, noise_pow(ii)=0.012322
sig_pow(ii)=85.269906, noise_pow(ii)=0.014780
sig_pow(ii)=53.970509, noise_pow(ii)=0.001668
sig_pow(ii)=134.148220, noise_pow(ii)=0.066302
sig_pow(ii)=21.851998, noise_pow(ii)=0.043147
sig_pow(ii)=183.026521, noise_pow(ii)=0.024230
sig_pow(ii)=0.482930, noise_pow(ii)=0.062628
sig_pow(ii)=10.565299, noise_pow(ii)=0.010751
sig_pow(ii)=0.745221, noise_pow(ii)=0.005869
sig_pow(ii)=73.730399, noise_pow(ii)=0.000316
sig_pow(ii)=54.117806, noise_pow(ii)=0.059732
sig_pow(ii)=98.513214, noise_pow(ii)=0.011282
sig_pow(ii)=16.543279, noise_pow(ii)=0.005274
sig_pow(ii)=5.151940, noise_pow(ii)=0.042157
sig_pow(ii)=66.451010, noise_pow(ii)=0.064849
sig_pow(ii)=9.695110, noise_pow(ii)=0.048696
sig_pow(ii)=45.912623, noise_pow(ii)=0.012033
sig_pow(ii)=91.258701, noise_pow(ii)=0.020754
sig_pow(ii)=181.773194, noise_pow(ii)=0.026714
sig_pow(ii)=23.861381, noise_pow(ii)=6.321938
sig_pow(ii)=46.470640, noise_pow(ii)=0.067596
sig_pow(ii)=97.656804, noise_pow(ii)=0.077707
sig_pow(ii)=45.776851, noise_pow(ii)=0.019100
sig_pow(ii)=26.994721, noise_pow(ii)=0.016280
sig_pow(ii)=134.772158, noise_pow(ii)=0.006167
sig_pow(ii)=64.661794, noise_pow(ii)=0.002446
sig_pow(ii)=25.361967, noise_pow(ii)=0.026005
sig_pow(ii)=597.657482, noise_pow(ii)=0.026978
sig_pow(ii)=50.548724, noise_pow(ii)=0.001585
sig_pow(ii)=83.925767, noise_pow(ii)=0.001638
sig_pow(ii)=0.560863, noise_pow(ii)=0.080456
sig_pow(ii)=238.510249, noise_pow(ii)=0.031429
sig_pow(ii)=90.967579, noise_pow(ii)=0.068162
sig_pow(ii)=4.785855, noise_pow(ii)=0.017867
sig_pow(ii)=8.312602, noise_pow(ii)=0.016586
sig_pow(ii)=129.985059, noise_pow(ii)=0.012495
sig_pow(ii)=110.231418, noise_pow(ii)=0.001394
sig_pow(ii)=40.222754, noise_pow(ii)=0.008395
sig_pow(ii)=81.078124, noise_pow(ii)=0.030255
sig_pow(ii)=3.652885, noise_pow(ii)=0.004511
sig_pow(ii)=120.233451, noise_pow(ii)=0.020824
sig_pow(ii)=111.304246, noise_pow(ii)=0.011381
sig_pow(ii)=50.354858, noise_pow(ii)=0.038380
sig_pow(ii)=30.540305, noise_pow(ii)=0.009313
sig_pow(ii)=136.659531, noise_pow(ii)=0.017081
sig_pow(ii)=61.257254, noise_pow(ii)=0.063885
sig_pow(ii)=15.075760, noise_pow(ii)=0.016610
sig_pow(ii)=5.155406, noise_pow(ii)=0.012048
sig_pow(ii)=6.272094, noise_pow(ii)=0.028685
sig_pow(ii)=54.378446, noise_pow(ii)=0.010308
sig_pow(ii)=85.809499, noise_pow(ii)=0.005099
sig_pow(ii)=22.413278, noise_pow(ii)=0.022631
sig_pow(ii)=97.395516, noise_pow(ii)=0.001523
sig_pow(ii)=68.018084, noise_pow(ii)=0.008352
sig_pow(ii)=75.789956, noise_pow(ii)=0.019870
sig_pow(ii)=66.401783, noise_pow(ii)=0.024374
sig_pow(ii)=53.567067, noise_pow(ii)=0.008832
sig_pow(ii)=2.983702, noise_pow(ii)=0.025289
sig_pow(ii)=46.300418, noise_pow(ii)=0.097025
sig_pow(ii)=17.028635, noise_pow(ii)=0.006901
sig_pow(ii)=46.346253, noise_pow(ii)=0.011934
sig_pow(ii)=27.154893, noise_pow(ii)=0.031337
sig_pow(ii)=67.005068, noise_pow(ii)=0.030530
sig_pow(ii)=10.398884, noise_pow(ii)=0.031981
sig_pow(ii)=5.397468, noise_pow(ii)=0.106205
sig_pow(ii)=11.763076, noise_pow(ii)=0.020715
sig_pow(ii)=259.796116, noise_pow(ii)=0.016631
sig_pow(ii)=402.094509, noise_pow(ii)=0.033609
sig_pow(ii)=33.989201, noise_pow(ii)=0.032377
sig_pow(ii)=8.905483, noise_pow(ii)=0.019863
sig_pow(ii)=196.056449, noise_pow(ii)=0.012315
sig_pow(ii)=31.098024, noise_pow(ii)=0.006688
sig_pow(ii)=54.749360, noise_pow(ii)=0.064705
sig_pow(ii)=156.341591, noise_pow(ii)=0.004667
sig_pow(ii)=55.645415, noise_pow(ii)=0.038196
sig_pow(ii)=86.291865, noise_pow(ii)=0.013050
sig_pow(ii)=21.042139, noise_pow(ii)=0.023763
sig_pow(ii)=116.032540, noise_pow(ii)=0.001128
sig_pow(ii)=16.564392, noise_pow(ii)=0.091990
sig_pow(ii)=202.612471, noise_pow(ii)=0.000727
sig_pow(ii)=100.340349, noise_pow(ii)=0.005648
sig_pow(ii)=165.823908, noise_pow(ii)=0.046192
sig_pow(ii)=76.635178, noise_pow(ii)=0.040002
sig_pow(ii)=67.310834, noise_pow(ii)=5.923557
sig_pow(ii)=49.518515, noise_pow(ii)=0.003059
