bfly11_tmp(1)=1738+j1602, temp_bfly11(1)=444928+j410112, bfly11(1)=1738+j1602
bfly11_tmp(2)=1464+j1770, temp_bfly11(2)=374784+j453120, bfly11(2)=1464+j1770
bfly11_tmp(3)=1526+j1608, temp_bfly11(3)=390656+j411648, bfly11(3)=1526+j1608
bfly11_tmp(4)=1310+j1766, temp_bfly11(4)=335360+j452096, bfly11(4)=1310+j1766
bfly11_tmp(5)=1648+j1684, temp_bfly11(5)=421888+j431104, bfly11(5)=1648+j1684
bfly11_tmp(6)=1620+j1504, temp_bfly11(6)=414720+j385024, bfly11(6)=1620+j1504
bfly11_tmp(7)=1620+j1508, temp_bfly11(7)=414720+j386048, bfly11(7)=1620+j1508
bfly11_tmp(8)=1834+j1432, temp_bfly11(8)=469504+j366592, bfly11(8)=1834+j1432
bfly11_tmp(9)=1608+j1488, temp_bfly11(9)=411648+j380928, bfly11(9)=1608+j1488
bfly11_tmp(10)=1832+j1270, temp_bfly11(10)=468992+j325120, bfly11(10)=1832+j1270
bfly11_tmp(11)=1520+j1394, temp_bfly11(11)=389120+j356864, bfly11(11)=1520+j1394
bfly11_tmp(12)=1538+j1334, temp_bfly11(12)=393728+j341504, bfly11(12)=1538+j1334
bfly11_tmp(13)=1522+j1434, temp_bfly11(13)=389632+j367104, bfly11(13)=1522+j1434
bfly11_tmp(14)=1606+j1760, temp_bfly11(14)=411136+j450560, bfly11(14)=1606+j1760
bfly11_tmp(15)=1274+j1508, temp_bfly11(15)=326144+j386048, bfly11(15)=1274+j1508
bfly11_tmp(16)=1608+j1710, temp_bfly11(16)=411648+j437760, bfly11(16)=1608+j1710
bfly11_tmp(17)=106+j54, temp_bfly11(17)=27136+j13824, bfly11(17)=106+j54
bfly11_tmp(18)=-160+j42, temp_bfly11(18)=-40960+j10752, bfly11(18)=-160+j42
bfly11_tmp(19)=2+j-48, temp_bfly11(19)=512+j-12288, bfly11(19)=2+j-48
bfly11_tmp(20)=118+j-74, temp_bfly11(20)=30208+j-18944, bfly11(20)=118+j-74
bfly11_tmp(21)=216+j-212, temp_bfly11(21)=55296+j-54272, bfly11(21)=216+j-212
bfly11_tmp(22)=-296+j36, temp_bfly11(22)=-75776+j9216, bfly11(22)=-296+j36
bfly11_tmp(23)=-28+j84, temp_bfly11(23)=-7168+j21504, bfly11(23)=-28+j84
bfly11_tmp(24)=-58+j96, temp_bfly11(24)=-14848+j24576, bfly11(24)=-58+j96
