twf_m0(1)=128+j0, pre_bfly02(1)=29440+j22912, index1_re(1)=6, index1_im(1)=6, bfly02(1)=460+j358
twf_m0(2)=128+j0, pre_bfly02(2)=15104+j30720, index1_re(2)=6, index1_im(2)=6, bfly02(2)=236+j480
twf_m0(3)=128+j0, pre_bfly02(3)=23296+j27392, index1_re(3)=6, index1_im(3)=6, bfly02(3)=364+j428
twf_m0(4)=128+j0, pre_bfly02(4)=25728+j25472, index1_re(4)=6, index1_im(4)=6, bfly02(4)=402+j398
twf_m0(5)=128+j0, pre_bfly02(5)=27392+j25344, index1_re(5)=6, index1_im(5)=6, bfly02(5)=428+j396
twf_m0(6)=128+j0, pre_bfly02(6)=22272+j26240, index1_re(6)=6, index1_im(6)=6, bfly02(6)=348+j410
twf_m0(7)=128+j0, pre_bfly02(7)=22656+j25344, index1_re(7)=6, index1_im(7)=6, bfly02(7)=354+j396
twf_m0(8)=128+j0, pre_bfly02(8)=32512+j22912, index1_re(8)=6, index1_im(8)=6, bfly02(8)=508+j358
twf_m0(9)=128+j0, pre_bfly02(9)=28032+j20864, index1_re(9)=6, index1_im(9)=6, bfly02(9)=438+j326
twf_m0(10)=128+j0, pre_bfly02(10)=37504+j21376, index1_re(10)=6, index1_im(10)=6, bfly02(10)=586+j334
twf_m0(11)=128+j0, pre_bfly02(11)=29440+j24064, index1_re(11)=6, index1_im(11)=6, bfly02(11)=460+j376
twf_m0(12)=128+j0, pre_bfly02(12)=25344+j22016, index1_re(12)=6, index1_im(12)=6, bfly02(12)=396+j344
twf_m0(13)=128+j0, pre_bfly02(13)=21120+j24576, index1_re(13)=6, index1_im(13)=6, bfly02(13)=330+j384
twf_m0(14)=128+j0, pre_bfly02(14)=24192+j36864, index1_re(14)=6, index1_im(14)=6, bfly02(14)=378+j576
twf_m0(15)=128+j0, pre_bfly02(15)=20864+j22912, index1_re(15)=6, index1_im(15)=6, bfly02(15)=326+j358
twf_m0(16)=128+j0, pre_bfly02(16)=27520+j27136, index1_re(16)=6, index1_im(16)=6, bfly02(16)=430+j424
twf_m0(17)=128+j0, pre_bfly02(17)=25984+j25984, index1_re(17)=6, index1_im(17)=6, bfly02(17)=406+j406
twf_m0(18)=128+j0, pre_bfly02(18)=24448+j25856, index1_re(18)=6, index1_im(18)=6, bfly02(18)=382+j404
twf_m0(19)=128+j0, pre_bfly02(19)=25600+j24448, index1_re(19)=6, index1_im(19)=6, bfly02(19)=400+j382
twf_m0(20)=128+j0, pre_bfly02(20)=21504+j30336, index1_re(20)=6, index1_im(20)=6, bfly02(20)=336+j474
twf_m0(21)=128+j0, pre_bfly02(21)=25216+j25728, index1_re(21)=6, index1_im(21)=6, bfly02(21)=394+j402
twf_m0(22)=128+j0, pre_bfly02(22)=29312+j18432, index1_re(22)=6, index1_im(22)=6, bfly02(22)=458+j288
twf_m0(23)=128+j0, pre_bfly02(23)=28800+j25728, index1_re(23)=6, index1_im(23)=6, bfly02(23)=450+j402
twf_m0(24)=128+j0, pre_bfly02(24)=37504+j20224, index1_re(24)=6, index1_im(24)=6, bfly02(24)=586+j316
twf_m0(25)=128+j0, pre_bfly02(25)=25216+j28288, index1_re(25)=6, index1_im(25)=6, bfly02(25)=394+j442
twf_m0(26)=128+j0, pre_bfly02(26)=22656+j18816, index1_re(26)=6, index1_im(26)=6, bfly02(26)=354+j294
twf_m0(27)=128+j0, pre_bfly02(27)=25600+j27520, index1_re(27)=6, index1_im(27)=6, bfly02(27)=400+j430
twf_m0(28)=128+j0, pre_bfly02(28)=31488+j24960, index1_re(28)=6, index1_im(28)=6, bfly02(28)=492+j390
twf_m0(29)=128+j0, pre_bfly02(29)=14976+j25216, index1_re(29)=6, index1_im(29)=6, bfly02(29)=234+j394
twf_m0(30)=128+j0, pre_bfly02(30)=30336+j27904, index1_re(30)=6, index1_im(30)=6, bfly02(30)=474+j436
twf_m0(31)=128+j0, pre_bfly02(31)=14080+j27392, index1_re(31)=6, index1_im(31)=6, bfly02(31)=220+j428
twf_m0(32)=128+j0, pre_bfly02(32)=19072+j27776, index1_re(32)=6, index1_im(32)=6, bfly02(32)=298+j434
twf_m0(33)=128+j0, pre_bfly02(33)=29568+j30080, index1_re(33)=6, index1_im(33)=6, bfly02(33)=462+j470
twf_m0(34)=128+j0, pre_bfly02(34)=26624+j27264, index1_re(34)=6, index1_im(34)=6, bfly02(34)=416+j426
twf_m0(35)=128+j0, pre_bfly02(35)=25600+j22528, index1_re(35)=6, index1_im(35)=6, bfly02(35)=400+j352
twf_m0(36)=128+j0, pre_bfly02(36)=19968+j28672, index1_re(36)=6, index1_im(36)=6, bfly02(36)=312+j448
twf_m0(37)=128+j0, pre_bfly02(37)=32256+j21760, index1_re(37)=6, index1_im(37)=6, bfly02(37)=504+j340
twf_m0(38)=128+j0, pre_bfly02(38)=20096+j23040, index1_re(38)=6, index1_im(38)=6, bfly02(38)=314+j360
twf_m0(39)=128+j0, pre_bfly02(39)=28288+j25600, index1_re(39)=6, index1_im(39)=6, bfly02(39)=442+j400
twf_m0(40)=128+j0, pre_bfly02(40)=24320+j25984, index1_re(40)=6, index1_im(40)=6, bfly02(40)=380+j406
twf_m0(41)=128+j0, pre_bfly02(41)=17920+j20992, index1_re(41)=6, index1_im(41)=6, bfly02(41)=280+j328
twf_m0(42)=128+j0, pre_bfly02(42)=28032+j20480, index1_re(42)=6, index1_im(42)=6, bfly02(42)=438+j320
twf_m0(43)=128+j0, pre_bfly02(43)=24192+j19584, index1_re(43)=6, index1_im(43)=6, bfly02(43)=378+j306
twf_m0(44)=128+j0, pre_bfly02(44)=14592+j17024, index1_re(44)=6, index1_im(44)=6, bfly02(44)=228+j266
twf_m0(45)=128+j0, pre_bfly02(45)=28544+j21632, index1_re(45)=6, index1_im(45)=6, bfly02(45)=446+j338
twf_m0(46)=128+j0, pre_bfly02(46)=14848+j17792, index1_re(46)=6, index1_im(46)=6, bfly02(46)=232+j278
twf_m0(47)=128+j0, pre_bfly02(47)=28032+j21120, index1_re(47)=6, index1_im(47)=6, bfly02(47)=438+j330
twf_m0(48)=128+j0, pre_bfly02(48)=24576+j29952, index1_re(48)=6, index1_im(48)=6, bfly02(48)=384+j468
twf_m0(49)=128+j0, pre_bfly02(49)=26240+j23552, index1_re(49)=6, index1_im(49)=6, bfly02(49)=410+j368
twf_m0(50)=128+j0, pre_bfly02(50)=27520+j29440, index1_re(50)=6, index1_im(50)=6, bfly02(50)=430+j460
twf_m0(51)=128+j0, pre_bfly02(51)=23168+j28544, index1_re(51)=6, index1_im(51)=6, bfly02(51)=362+j446
twf_m0(52)=128+j0, pre_bfly02(52)=16640+j28544, index1_re(52)=6, index1_im(52)=6, bfly02(52)=260+j446
twf_m0(53)=128+j0, pre_bfly02(53)=20608+j34944, index1_re(53)=6, index1_im(53)=6, bfly02(53)=322+j546
twf_m0(54)=128+j0, pre_bfly02(54)=32000+j28544, index1_re(54)=6, index1_im(54)=6, bfly02(54)=500+j446
twf_m0(55)=128+j0, pre_bfly02(55)=23936+j19840, index1_re(55)=6, index1_im(55)=6, bfly02(55)=374+j310
twf_m0(56)=128+j0, pre_bfly02(56)=23040+j22528, index1_re(56)=6, index1_im(56)=6, bfly02(56)=360+j352
twf_m0(57)=128+j0, pre_bfly02(57)=31744+j25088, index1_re(57)=6, index1_im(57)=6, bfly02(57)=496+j392
twf_m0(58)=128+j0, pre_bfly02(58)=29056+j20608, index1_re(58)=6, index1_im(58)=6, bfly02(58)=454+j322
twf_m0(59)=128+j0, pre_bfly02(59)=18048+j18048, index1_re(59)=6, index1_im(59)=6, bfly02(59)=282+j282
twf_m0(60)=128+j0, pre_bfly02(60)=27008+j21376, index1_re(60)=6, index1_im(60)=6, bfly02(60)=422+j334
twf_m0(61)=128+j0, pre_bfly02(61)=32768+j20352, index1_re(61)=6, index1_im(61)=6, bfly02(61)=512+j318
twf_m0(62)=128+j0, pre_bfly02(62)=33408+j30080, index1_re(62)=6, index1_im(62)=6, bfly02(62)=522+j470
twf_m0(63)=128+j0, pre_bfly02(63)=18560+j25088, index1_re(63)=6, index1_im(63)=6, bfly02(63)=290+j392
twf_m0(64)=128+j0, pre_bfly02(64)=31744+j24576, index1_re(64)=6, index1_im(64)=6, bfly02(64)=496+j384
twf_m0(65)=128+j0, pre_bfly02(65)=1792+j-1152, index1_re(65)=8, index1_im(65)=8, bfly02(65)=112+j-72
twf_m0(66)=128+j-6, pre_bfly02(66)=-4732+j3044, index1_re(66)=8, index1_im(66)=8, bfly02(66)=-296+j190
twf_m0(67)=127+j-13, pre_bfly02(67)=-5176+j-7940, index1_re(67)=8, index1_im(67)=8, bfly02(67)=-324+j-497
twf_m0(68)=127+j-19, pre_bfly02(68)=-3412+j5834, index1_re(68)=8, index1_im(68)=8, bfly02(68)=-214+j364
twf_m0(69)=126+j-25, pre_bfly02(69)=6606+j-3668, index1_re(69)=8, index1_im(69)=8, bfly02(69)=412+j-230
twf_m0(70)=124+j-31, pre_bfly02(70)=7037+j4960, index1_re(70)=8, index1_im(70)=8, bfly02(70)=439+j310
twf_m0(71)=122+j-37, pre_bfly02(71)=-6834+j9533, index1_re(71)=8, index1_im(71)=8, bfly02(71)=-428+j595
twf_m0(72)=121+j-43, pre_bfly02(72)=1641+j-5353, index1_re(72)=8, index1_im(72)=8, bfly02(72)=102+j-335
twf_m0(73)=118+j-49, pre_bfly02(73)=1259+j7363, index1_re(73)=8, index1_im(73)=8, bfly02(73)=78+j460
twf_m0(74)=116+j-55, pre_bfly02(74)=123+j2357, index1_re(74)=8, index1_im(74)=8, bfly02(74)=7+j147
