jj=1, kk=0, dout(1)=-1+j0, indexsum=22
jj=2, kk=256, dout(257)=4091+j-6, indexsum=10
jj=3, kk=128, dout(129)=-1+j0, indexsum=22
jj=4, kk=384, dout(385)=2+j-1, indexsum=20
jj=5, kk=64, dout(65)=-1+j0, indexsum=22
jj=6, kk=320, dout(321)=2+j-1, indexsum=19
jj=7, kk=192, dout(193)=-1+j0, indexsum=22
jj=8, kk=448, dout(449)=-3+j-4, indexsum=19
jj=9, kk=32, dout(33)=-1+j0, indexsum=22
jj=10, kk=288, dout(289)=-4+j0, indexsum=19
jj=11, kk=160, dout(161)=-1+j0, indexsum=22
jj=12, kk=416, dout(417)=-1+j-1, indexsum=19
jj=13, kk=96, dout(97)=-1+j0, indexsum=22
jj=14, kk=352, dout(353)=3+j-1, indexsum=19
jj=15, kk=224, dout(225)=-1+j0, indexsum=22
jj=16, kk=480, dout(481)=3+j1, indexsum=18
jj=17, kk=16, dout(17)=-1+j0, indexsum=22
jj=18, kk=272, dout(273)=-1+j0, indexsum=18
jj=19, kk=144, dout(145)=-1+j0, indexsum=22
jj=20, kk=400, dout(401)=-1+j-1, indexsum=19
jj=21, kk=80, dout(81)=-1+j0, indexsum=22
jj=22, kk=336, dout(337)=-2+j-1, indexsum=20
jj=23, kk=208, dout(209)=-1+j0, indexsum=22
jj=24, kk=464, dout(465)=2+j-1, indexsum=19
jj=25, kk=48, dout(49)=-1+j0, indexsum=22
jj=26, kk=304, dout(305)=-1+j0, indexsum=19
jj=27, kk=176, dout(177)=-1+j0, indexsum=22
jj=28, kk=432, dout(433)=-4+j-1, indexsum=19
jj=29, kk=112, dout(113)=-1+j0, indexsum=22
jj=30, kk=368, dout(369)=-1+j0, indexsum=20
jj=31, kk=240, dout(241)=-1+j0, indexsum=22
jj=32, kk=496, dout(497)=0+j0, indexsum=19
jj=33, kk=8, dout(9)=-1+j0, indexsum=22
jj=34, kk=264, dout(265)=-4+j0, indexsum=19
jj=35, kk=136, dout(137)=-1+j0, indexsum=22
jj=36, kk=392, dout(393)=-4+j-2, indexsum=20
jj=37, kk=72, dout(73)=-1+j0, indexsum=22
jj=38, kk=328, dout(329)=-3+j-1, indexsum=19
jj=39, kk=200, dout(201)=-1+j0, indexsum=22
jj=40, kk=456, dout(457)=-1+j0, indexsum=19
jj=41, kk=40, dout(41)=-1+j0, indexsum=22
jj=42, kk=296, dout(297)=-1+j-1, indexsum=19
jj=43, kk=168, dout(169)=-1+j0, indexsum=22
