jj=1, kk=0, dout(1)=3158+j3096, indexsum=11
jj=2, kk=256, dout(257)=-45+j-40, indexsum=14
jj=3, kk=128, dout(129)=79+j-6, indexsum=14
jj=4, kk=384, dout(385)=64+j52, indexsum=14
jj=5, kk=64, dout(65)=55+j7, indexsum=14
jj=6, kk=320, dout(321)=-15+j-53, indexsum=13
jj=7, kk=192, dout(193)=-59+j78, indexsum=13
jj=8, kk=448, dout(449)=106+j-47, indexsum=13
jj=9, kk=32, dout(33)=-13+j140, indexsum=14
jj=10, kk=288, dout(289)=85+j-168, indexsum=14
jj=11, kk=160, dout(161)=76+j58, indexsum=14
jj=12, kk=416, dout(417)=41+j-38, indexsum=14
jj=13, kk=96, dout(97)=51+j-57, indexsum=14
jj=14, kk=352, dout(353)=17+j15, indexsum=13
jj=15, kk=224, dout(225)=46+j-11, indexsum=13
jj=16, kk=480, dout(481)=-176+j171, indexsum=13
jj=17, kk=16, dout(17)=-26+j43, indexsum=13
jj=18, kk=272, dout(273)=-77+j-95, indexsum=14
jj=19, kk=144, dout(145)=54+j23, indexsum=14
jj=20, kk=400, dout(401)=4+j-27, indexsum=13
jj=21, kk=80, dout(81)=-116+j4, indexsum=13
jj=22, kk=336, dout(337)=34+j107, indexsum=14
jj=23, kk=208, dout(209)=12+j182, indexsum=14
jj=24, kk=464, dout(465)=36+j-15, indexsum=14
jj=25, kk=48, dout(49)=-48+j-2, indexsum=14
jj=26, kk=304, dout(305)=21+j-98, indexsum=14
jj=27, kk=176, dout(177)=146+j-57, indexsum=14
jj=28, kk=432, dout(433)=-116+j87, indexsum=14
jj=29, kk=112, dout(113)=117+j-12, indexsum=14
jj=30, kk=368, dout(369)=93+j-98, indexsum=14
jj=31, kk=240, dout(241)=13+j87, indexsum=13
jj=32, kk=496, dout(497)=56+j-29, indexsum=14
jj=33, kk=8, dout(9)=106+j-70, indexsum=13
jj=34, kk=264, dout(265)=-15+j46, indexsum=14
jj=35, kk=136, dout(137)=153+j24, indexsum=14
jj=36, kk=392, dout(393)=-81+j21, indexsum=13
jj=37, kk=72, dout(73)=-47+j-29, indexsum=14
jj=38, kk=328, dout(329)=44+j-64, indexsum=14
jj=39, kk=200, dout(201)=86+j-34, indexsum=14
jj=40, kk=456, dout(457)=5+j-81, indexsum=13
jj=41, kk=40, dout(41)=-6+j240, indexsum=14
jj=42, kk=296, dout(297)=-53+j4, indexsum=14
jj=43, kk=168, dout(169)=-2+j17, indexsum=14
jj=44, kk=424, dout(425)=-77+j-33, indexsum=13
jj=45, kk=104, dout(105)=-63+j4, indexsum=14
jj=46, kk=360, dout(361)=68+j-160, indexsum=13
jj=47, kk=232, dout(233)=-12+j-2, indexsum=14
jj=48, kk=488, dout(489)=-42+j-106, indexsum=14
jj=49, kk=24, dout(25)=36+j-74, indexsum=14
jj=50, kk=280, dout(281)=120+j67, indexsum=14
jj=51, kk=152, dout(153)=-13+j107, indexsum=14
jj=52, kk=408, dout(409)=-36+j-99, indexsum=14
